PantryID,PantryName,Address,Size,Latitude,Longitude,Ethnic Group,Contact,PredictedCount
AFCBP776,Feeding GA Families,"2514 W Point Ave, Atlanta, GA - 30337",Small,33.6264,-84.473563,"Black or African American, Hispanic or Latino",(678) 223-3663,4737
AFCBP535,St. Vincent De Paul Society,"2050-C Chamblee Tucker Rd, Atlanta, GA - 30341",Medium,33.885684,-84.303371,Native American or Alaska Native,(678) 892-6160,7181
AFCBP473,Project Open Hand - Atlanta,"176 Ottley Drive NE, Atlanta, GA - 30324",Medium,33.808551,-84.382369,"Native American or Alaska Native, Black or African American",(404) 872-8089,5189
AFCBP951,Action Ministries - Atlanta,"458 Ponce de Leon Ave NE, Atlanta, GA - 30308",Large,33.773732,-84.371973,Black or African American,(404) 881-6744,4679
AFCBP278,FreeFoodCommune,"1560 Memorial Drive SE, Atlanta, GA - 30317",Large,33.747581,-84.336126,"Hispanic or Latino, Black or African American, Native American or Alaska Native",(404) 822-5685,4949
AFCBP308,Sconiers Homeless Preventive Organization - Food Pantry,"848 Pegg Rd, Atlanta, GA - 30274",Medium,33.68919,-84.416582,Hispanic or Latino,(404) 454-3554,7501
AFCBP649,Atlanta Inner-City Ministry Food Pantry,"1966 Lakewood Terrace, Atlanta, GA - 30315",Medium,33.699191,-84.377495,Hispanic or Latino,(404) 622-7931,6989
AFCBP206,REDEEMED Community Outreach Food Pantry,"555 Hopkins Street SW, Bldg A, Atlanta, GA - 30310",Medium,33.739954,-84.430888,Black or African American,(404) 755-9441,7296
AFCBP309,Lutheran Community Food Ministry,"731 Peachtree St NE, Atlanta, GA - 30308",Large,33.774561,-84.384199,"Hispanic or Latino, Native American or Alaska Native, Black or African American",(404) 874-8664,5067
AFCBP108,Wheat Street Baptist Church Food Pantry,"18 William Holmes Borders, Sr. Drive, Atlanta, GA - 30312",Small,33.754629,-84.375641,"Native American or Alaska Native, Hispanic or Latino, Black or African American",(404) 659-4328,7191
AFCBP800,Antioch Urban Ministries Food Pantry,"466 Northside Drive, Atlanta, GA - 30318",Medium,33.795074,-84.407861,"Native American or Alaska Native, Hispanic or Latino, Black or African American",(404) 524-9775,6774
AFCBP853,Buckhead Christian Ministry Food Pantry,"2847 Piedmont Rd. NE, Atlanta, GA - 30305",Medium,33.832444,-84.367552,"Hispanic or Latino, Native American or Alaska Native, Black or African American",(404) 239-0058,5017
AFCBP148,Butler Street CME Church Food Pantry,"23 Jesse Hill Jr. Drive SE, Atlanta, GA - 30303",Small,33.754114,-84.380715,Hispanic or Latino,(404) 659-8745,8420
AFCBP648,Calvary United Methodist Church Food Pantry,"1471 Ralph David Abernathy Blvd SW, Atlanta, GA - 30310",Small,33.741767,-84.435951,"Native American or Alaska Native, Black or African American",(404) 753-8151,5992
AFCBP155,Caring for Others Food Pantry,"3537 Browns Mill Rd., Atlanta, GA - 30354",Small,33.659039,-84.387479,"Native American or Alaska Native, Black or African American",(404) 761-0133,7234
