zip_code,NAME
31001,WILCOX
30102,CHEROKEE
30101,COBB
30103,BARTOW
31620,COOK
31002,EMANUEL
30410,MONTGOMERY
30411,WHEELER
31622,BERRIEN
31701,DOUGHERTY
31702,DOUGHERTY
31703,DOUGHERTY
31704,DOUGHERTY
31705,DOUGHERTY
31706,DOUGHERTY
31707,DOUGHERTY
31708,DOUGHERTY
31721,DOUGHERTY
31301,LIBERTY
31003,WILKINSON
31510,BACON
30004,FULTON
30005,FULTON
30009,FULTON
30022,FULTON
30023,FULTON
30412,MONTGOMERY
30510,HABERSHAM
31512,COFFEE
31709,SUMTER
31719,SUMTER
31711,SUMTER
30802,COLUMBIA
31712,CRISP
30104,POLK
31623,CLINCH
39813,CALHOUN
30105,FLOYD
30619,OGLETHORPE
31714,TURNER
30601,CLARKE
30602,CLARKE
30603,CLARKE
30604,CLARKE
30605,CLARKE
30606,CLARKE
30607,CLARKE
30608,CLARKE
30612,CLARKE
30339,COBB
30317,DEKALB
30319,DEKALB
30322,DEKALB
30329,DEKALB
30333,DEKALB
30338,DEKALB
30340,DEKALB
30341,DEKALB
30345,DEKALB
30346,DEKALB
30356,DEKALB
30359,DEKALB
30360,DEKALB
30362,DEKALB
30366,DEKALB
31107,DEKALB
31119,DEKALB
31141,DEKALB
31145,DEKALB
31146,DEKALB
30301,FULTON
30302,FULTON
30303,FULTON
30304,FULTON
30305,FULTON
30306,FULTON
30307,FULTON
30308,FULTON
30309,FULTON
30310,FULTON
30311,FULTON
30312,FULTON
30313,FULTON
30314,FULTON
30315,FULTON
30316,FULTON
30318,FULTON
30320,FULTON
30321,FULTON
30324,FULTON
30325,FULTON
30326,FULTON
30327,FULTON
30328,FULTON
30331,FULTON
30332,FULTON
30334,FULTON
30336,FULTON
30337,FULTON
30342,FULTON
30343,FULTON
30344,FULTON
30348,FULTON
30349,FULTON
30350,FULTON
30354,FULTON
30355,FULTON
30357,FULTON
30358,FULTON
30361,FULTON
30363,FULTON
30364,FULTON
30368,FULTON
30371,FULTON
30375,FULTON
30377,FULTON
30380,FULTON
30392,FULTON
30396,FULTON
31106,FULTON
31126,FULTON
31131,FULTON
31139,FULTON
31150,FULTON
31156,FULTON
39815,DECATUR
30011,BARROW
30907,COLUMBIA
30917,COLUMBIA
30901,RICHMOND
30903,RICHMOND
30904,RICHMOND
30905,RICHMOND
30906,RICHMOND
30909,RICHMOND
30912,RICHMOND
30914,RICHMOND
30916,RICHMOND
30919,RICHMOND
30106,COBB
30168,COBB
30803,JEFFERSON
30002,DEKALB
31624,ATKINSON
31716,MITCHELL
39817,DECATUR
39818,DECATUR
39819,DECATUR
30511,BANKS
30107,CHEROKEE
30204,LAMAR
31625,BROOKS
30413,JEFFERSON
31720,BROOKS
31513,APPLING
31515,APPLING
30414,EVANS
31722,COLQUITT
30620,BARROW
30621,OCONEE
31516,PIERCE
30512,UNION
30514,UNION
39823,EARLY
31302,CHATHAM
30513,FANNIN
39824,CLAY
30805,RICHMOND
30622,OCONEE
31004,MONROE
31005,HOUSTON
30806,MCDUFFIE
31626,THOMAS
30623,MORGAN
30108,CARROLL
30109,CARROLL
30516,HART
30624,ELBERT
31801,TALBOT
30517,JACKSON
30110,HARALSON
39825,DECATUR
31518,PIERCE
39826,TERRELL
31727,TIFT
30415,BULLOCH
30205,FAYETTE
31519,COFFEE
31520,GLYNN
31521,GLYNN
31523,GLYNN
31524,GLYNN
31525,GLYNN
30113,HARALSON
30625,MORGAN
31803,MARION
30515,GWINNETT
30518,GWINNETT
30519,GWINNETT
31006,TAYLOR
31007,DOOLY
31008,PEACH
31009,LAURENS
39827,GRADY
39828,GRADY
30701,GORDON
30703,GORDON
39829,GRADY
30807,WARREN
31730,MITCHELL
30520,FRANKLIN
30114,CHEROKEE
30115,CHEROKEE
30169,CHEROKEE
30627,MADISON
30521,FRANKLIN
30112,CARROLL
30116,CARROLL
30117,CARROLL
30118,CARROLL
30119,CARROLL
30120,BARTOW
30121,BARTOW
30123,BARTOW
31804,HARRIS
30124,FLOYD
31627,COOK
39832,EARLY
30125,POLK
31028,HOUSTON
30705,MURRAY
31011,DODGE
30522,GILMER
31012,DODGE
30502,HALL
30707,WALKER
31733,TIFT
30708,MURRAY
30111,COBB
30523,HABERSHAM
30021,DEKALB
30417,EVANS
30525,RABUN
30527,HALL
30528,WHITE
39834,DECATUR
31013,HOUSTON
31303,EFFINGHAM
31735,SUMTER
30420,TATTNALL
31014,BLECKLEY
30710,WHITFIELD
30628,MADISON
39836,RANDOLPH
30421,TATTNALL
39837,MILLER
31901,MUSCOGEE
31902,MUSCOGEE
31903,MUSCOGEE
31904,MUSCOGEE
31906,MUSCOGEE
31907,MUSCOGEE
31908,MUSCOGEE
31909,MUSCOGEE
31914,MUSCOGEE
31917,MUSCOGEE
31993,MUSCOGEE
31999,MUSCOGEE
30629,MADISON
30530,BANKS
30529,JACKSON
30206,PIKE
30288,CLAYTON
30012,ROCKDALE
30013,ROCKDALE
30094,ROCKDALE
31738,THOMAS
30129,FLOYD
31010,CRISP
31015,CRISP
30531,HABERSHAM
30014,NEWTON
30015,NEWTON
30016,NEWTON
30711,MURRAY
30630,OGLETHORPE
30631,TALIAFERRO
31304,MCINTOSH
31016,MONROE
30028,FORSYTH
30040,FORSYTH
30041,FORSYTH
31805,CHATTAHOOCHEE
39840,RANDOLPH
30019,GWINNETT
30533,LUMPKIN
30597,LUMPKIN
30423,EVANS
30132,PAULDING
30157,PAULDING
30719,WHITFIELD
30720,WHITFIELD
30721,WHITFIELD
30722,WHITFIELD
39841,EARLY
30633,MADISON
31017,TWIGGS
31305,MCINTOSH
31018,WASHINGTON
39842,TERRELL
30534,DAWSON
31743,SUMTER
30808,MCDUFFIE
30030,DEKALB
30031,DEKALB
30032,DEKALB
30033,DEKALB
30034,DEKALB
30035,DEKALB
30036,DEKALB
30037,DEKALB
30535,HABERSHAM
31532,JEFF DAVIS
30634,ELBERT
31019,LAURENS
30537,RABUN
31629,BROOKS
31744,COLQUITT
39845,SEMINOLE
31533,COFFEE
31534,COFFEE
31535,COFFEE
30133,DOUGLAS
30134,DOUGLAS
30135,DOUGLAS
30154,DOUGLAS
30424,SCREVEN
31020,TWIGGS
31630,CLINCH
31021,LAURENS
31040,LAURENS
31022,LAURENS
30097,FULTON
30098,FULTON
30095,GWINNETT
30096,GWINNETT
30099,GWINNETT
31027,LAURENS
30539,GILMER
30538,STEPHENS
31023,DODGE
31024,PUTNAM
31307,EFFINGHAM
39846,CALHOUN
30635,ELBERT
31025,HOUSTON
31308,BRYAN
31806,SCHLEY
31747,COLQUITT
30294,DEKALB
31807,HARRIS
30536,GILMER
30540,GILMER
30137,BARTOW
31749,BERRIEN
30541,FANNIN
30138,POLK
30724,MURRAY
30809,COLUMBIA
30212,SPALDING
30213,FULTON
30139,GORDON
31631,CLINCH
30638,OCONEE
30214,FAYETTE
30215,FAYETTE
30140,HARALSON
31750,BEN HILL
31309,LIBERTY
30725,WALKER
30216,BUTTS
30542,HALL
31537,CHARLTON
30297,CLAYTON
30298,CLAYTON
31029,MONROE
31905,MUSCOGEE
31995,MUSCOGEE
39851,CLAY
30742,CATOOSA
31314,LIBERTY
31315,LIBERTY
31030,PEACH
31808,MUSCOGEE
30217,HEARD
30639,FRANKLIN
31753,COLQUITT
30501,HALL
30503,HALL
30504,HALL
30506,HALL
30507,HALL
30425,EMANUEL
30218,MERIWETHER
31810,TALBOT
39854,QUITMAN
30810,GLASCOCK
30543,HALL
30426,BURKE
30427,TATTNALL
30428,WHEELER
30641,WALTON
31031,WILKINSON
30812,RICHMOND
30220,COWETA
31032,JONES
30017,GWINNETT
30726,CATOOSA
30642,GREENE
30222,MERIWETHER
30223,SPALDING
30224,SPALDING
30813,COLUMBIA
31312,EFFINGHAM
31033,JONES
30429,EVANS
31632,LOWNDES
31811,HARRIS
30228,HENRY
30229,COWETA
31034,BALDWIN
30814,COLUMBIA
31035,WASHINGTON
31756,COLQUITT
30643,HART
31036,PULASKI
31539,JEFF DAVIS
30545,WHITE
31037,TELFAIR
30815,RICHMOND
30546,TOWNS
30645,OCONEE
31038,JASPER
31310,LIBERTY
31313,LIBERTY
30141,PAULDING
31542,BRANTLEY
30230,TROUP
30142,CHEROKEE
30547,BANKS
31634,CLINCH
31543,BRANTLEY
30548,JACKSON
31039,TAYLOR
30646,MADISON
31041,MACON
30647,MADISON
39859,SEMINOLE
31042,WILKINSON
31760,IRWIN
30233,BUTTS
31544,TELFAIR
39861,EARLY
30143,PICKENS
30549,JACKSON
31044,TWIGGS
31527,GLYNN
30234,BUTTS
30018,WALTON
31545,WAYNE
31546,WAYNE
31598,WAYNE
31045,WARREN
30236,CLAYTON
30237,CLAYTON
30238,CLAYTON
31046,MONROE
31812,TALBOT
31047,HOUSTON
30144,COBB
30152,COBB
30156,COBB
30160,COBB
30816,BURKE
31547,CAMDEN
31548,CAMDEN
30145,BARTOW
31049,JOHNSON
31050,CRAWFORD
30728,WALKER
30240,TROUP
30241,TROUP
30261,TROUP
31636,LOWNDES
31635,LANIER
30552,RABUN
30553,FRANKLIN
30042,GWINNETT
30043,GWINNETT
30044,GWINNETT
30045,GWINNETT
30046,GWINNETT
30049,GWINNETT
39862,CALHOUN
30146,CHEROKEE
31763,LEE
31637,COOK
31764,SUMTER
30648,OGLETHORPE
30047,GWINNETT
30048,GWINNETT
31051,DOOLY
30817,LINCOLN
30147,FLOYD
30122,DOUGLAS
30038,DEKALB
30058,DEKALB
31052,BIBB
30248,HENRY
30052,WALTON
30750,WALKER
30434,JEFFERSON
30250,CLAYTON
31316,LONG
30554,HALL
31549,TELFAIR
31815,STEWART
30251,MERIWETHER
30730,CHATTOOGA
30436,TOOMBS
30126,COBB
31201,BIBB
31202,BIBB
31203,BIBB
31204,BIBB
31205,BIBB
31206,BIBB
31207,BIBB
31208,BIBB
31209,BIBB
31210,BIBB
31211,BIBB
31213,BIBB
31216,BIBB
31217,BIBB
31220,BIBB
31221,BIBB
31295,BIBB
31296,BIBB
31297,BIBB
30650,MORGAN
31816,MERIWETHER
31550,WARE
30055,NEWTON
30148,PICKENS
30006,COBB
30007,COBB
30008,COBB
30060,COBB
30061,COBB
30062,COBB
30063,COBB
30064,COBB
30065,COBB
30066,COBB
30067,COBB
30068,COBB
30069,COBB
30090,COBB
31057,MACON
30557,STEPHENS
30818,JEFFERSON
31058,MARION
30671,OGLETHORPE
30558,BANKS
30555,FANNIN
31054,WILKINSON
31055,TELFAIR
30252,HENRY
30253,HENRY
30256,PIKE
31765,THOMAS
31318,EFFINGHAM
30731,CHATTOOGA
31319,MCINTOSH
31551,PIERCE
30439,CANDLER
31820,MUSCOGEE
30441,BURKE
31320,LIBERTY
31060,DODGE
31059,BALDWIN
31061,BALDWIN
31062,BALDWIN
30442,JENKINS
31552,WARE
30257,LAMAR
30559,FANNIN
30820,GLASCOCK
30258,PIKE
30655,WALTON
30656,WALTON
31063,MACON
31064,JASPER
31065,LAURENS
31699,LOWNDES
30259,COWETA
39866,CALHOUN
30560,FANNIN
39867,QUITMAN
30260,CLAYTON
30287,CLAYTON
31638,BROOKS
31768,COLQUITT
31776,COLQUITT
31788,COLQUITT
30563,HABERSHAM
30149,FLOYD
30445,MONTGOMERY
30150,CARROLL
30562,RABUN
30564,HALL
31066,CRAWFORD
31769,IRWIN
31553,BRANTLEY
31639,BERRIEN
31641,LOWNDES
30151,CHEROKEE
30056,NEWTON
30446,SCREVEN
30263,COWETA
30264,COWETA
30265,COWETA
30271,COWETA
39870,BAKER
31554,COFFEE
30565,JACKSON
30003,GWINNETT
30010,GWINNETT
30071,GWINNETT
30091,GWINNETT
30093,GWINNETT
31771,COLQUITT
30026,GWINNETT
30029,GWINNETT
30821,WARREN
30448,EMANUEL
31772,WORTH
30732,GORDON
30566,HALL
31773,THOMAS
31774,IRWIN
31067,WASHINGTON
31555,WAYNE
31556,PIERCE
31068,MACON
30449,SCREVEN
31821,STEWART
31775,TIFT
30266,SPALDING
30054,NEWTON
30268,FULTON
39877,TERRELL
31557,PIERCE
31778,THOMAS
30269,FAYETTE
31169,FAYETTE
30092,GWINNETT
31642,ATKINSON
31779,MITCHELL
31321,BRYAN
30567,JACKSON
30822,JENKINS
31069,HOUSTON
30072,DEKALB
31822,HARRIS
31823,HARRIS
31070,DOOLY
31071,WILCOX
31072,WILCOX
31780,SUMTER
30733,GORDON
31322,CHATHAM
31407,CHATHAM
30450,BULLOCH
30070,NEWTON
31781,WORTH
30127,COBB
31824,WEBSTER
30451,CANDLER
31643,BROOKS
30568,RABUN
30734,GORDON
31645,BERRIEN
30660,WILKES
31783,TURNER
30272,FULTON
30074,DEKALB
30452,BULLOCH
30453,TATTNALL
31075,LAURENS
30735,GORDON
30273,CLAYTON
31076,TAYLOR
31077,DODGE
31323,LIBERTY
31825,STEWART
31324,BRYAN
31326,EFFINGHAM
30736,CATOOSA
30738,DADE
30274,CLAYTON
30296,CLAYTON
31078,CRAWFORD
31079,WILCOX
30739,WALKER
30454,LAURENS
30153,POLK
30740,WHITFIELD
30455,SCREVEN
30161,FLOYD
30162,FLOYD
30163,FLOYD
30164,FLOYD
30165,FLOYD
30170,CARROLL
30741,WALKER
30075,FULTON
30076,FULTON
30077,FULTON
30662,FRANKLIN
31081,TAYLOR
30663,MORGAN
30171,BARTOW
31562,CHARLTON
31558,CAMDEN
31522,GLYNN
31784,MITCHELL
31082,WASHINGTON
30456,BURKE
30275,COWETA
39885,TERRELL
30571,WHITE
31401,CHATHAM
31402,CHATHAM
31403,CHATHAM
31404,CHATHAM
31405,CHATHAM
31406,CHATHAM
31408,CHATHAM
31409,CHATHAM
31410,CHATHAM
31411,CHATHAM
31412,CHATHAM
31414,CHATHAM
31415,CHATHAM
31416,CHATHAM
31418,CHATHAM
31419,CHATHAM
31420,CHATHAM
31421,CHATHAM
31083,TELFAIR
30079,DEKALB
31560,WAYNE
31561,GLYNN
30276,COWETA
31085,JASPER
30172,FLOYD
30664,TALIAFERRO
30277,COWETA
39886,RANDOLPH
31826,HARRIS
30665,GREENE
30173,FLOYD
31086,MONROE
31787,LEE
30080,COBB
30081,COBB
30082,COBB
30039,GWINNETT
30078,GWINNETT
30025,WALTON
30457,TREUTLEN
31647,COOK
31087,HANCOCK
31329,EFFINGHAM
30823,JEFFERSON
31648,ECHOLS
30458,BULLOCH
30459,BULLOCH
30460,BULLOCH
30461,BULLOCH
30666,BARROW
30667,OGLETHORPE
30464,EMANUEL
30281,HENRY
31649,LANIER
30083,DEKALB
30086,DEKALB
30087,DEKALB
30088,DEKALB
30572,UNION
30746,GORDON
30747,CHATTOOGA
31789,WORTH
30284,SPALDING
31563,APPLING
30024,GWINNETT
30401,EMANUEL
31790,TURNER
30467,SCREVEN
31791,WORTH
31827,TALBOT
30175,PICKENS
30176,HARALSON
30573,RABUN
